"","run","year","fixed.maturity","habitat.struct","num.river.with.fish","total.count","habitat.K","p.filled"
"270",3,64,1,1,18,15697,48000,0.327020833333333
"271",3,65,1,1,0,16729,48000,0.348520833333333
"272",3,66,1,1,18,16729,48000,0.348520833333333
"273",3,67,1,1,0,16663,48000,0.347145833333333
"274",3,68,1,1,18,16663,48000,0.347145833333333
"275",3,69,1,1,0,18374,48000,0.382791666666667
"276",3,70,1,1,20,18374,48000,0.382791666666667
"277",3,71,1,1,0,19147,48000,0.398895833333333
"278",3,72,1,1,20,19147,48000,0.398895833333333
"279",3,73,1,1,0,19197,48000,0.3999375
"280",3,74,1,1,20,19197,48000,0.3999375
"281",3,75,1,1,0,20206,48000,0.420958333333333
"282",3,76,1,1,20,20206,48000,0.420958333333333
"283",3,77,1,1,0,20718,48000,0.431625
"284",3,78,1,1,21,20718,48000,0.431625
"285",3,79,1,1,0,21406,48000,0.445958333333333
"286",3,80,1,1,22,21406,48000,0.445958333333333
"287",3,81,1,1,0,21174,48000,0.441125
"288",3,82,1,1,23,21174,48000,0.441125
"289",3,83,1,1,0,23248,48000,0.484333333333333
"290",3,84,1,1,23,23248,48000,0.484333333333333
"291",3,85,1,1,0,25457,48000,0.530354166666667
"292",3,86,1,1,23,25457,48000,0.530354166666667
"293",3,87,1,1,0,25720,48000,0.535833333333333
"294",3,88,1,1,24,25720,48000,0.535833333333333
"295",3,89,1,1,0,25716,48000,0.53575
"296",3,90,1,1,24,25716,48000,0.53575
"297",3,91,1,1,0,26010,48000,0.541875
"298",3,92,1,1,25,26010,48000,0.541875
"299",3,93,1,1,0,26916,48000,0.56075
"300",3,94,1,1,25,26916,48000,0.56075
"301",3,95,1,1,0,29328,48000,0.611
"302",3,96,1,1,26,29328,48000,0.611
"303",3,97,1,1,0,29633,48000,0.617354166666667
"304",3,98,1,1,27,29633,48000,0.617354166666667
"305",3,99,1,1,0,28722,48000,0.598375
"306",3,100,1,1,27,28722,48000,0.598375
"307",3,101,1,1,0,28949,48000,0.603104166666667
"308",3,102,1,1,27,28949,48000,0.603104166666667
"309",3,103,1,1,0,29254,48000,0.609458333333333
"310",4,1,1,1,1,100,52500,0.0019047619047619
"311",4,2,1,1,4,100,52500,0.0019047619047619
"312",4,3,1,1,0,168,52500,0.0032
"313",4,4,1,1,5,168,52500,0.0032
"314",4,5,1,1,0,197,52500,0.00375238095238095
"315",4,6,1,1,5,197,52500,0.00375238095238095
"316",4,7,1,1,0,245,52500,0.00466666666666667
"317",4,8,1,1,5,245,52500,0.00466666666666667
"318",4,9,1,1,0,375,52500,0.00714285714285714
"319",4,10,1,1,5,375,52500,0.00714285714285714
"320",4,11,1,1,0,507,52500,0.00965714285714286
"321",4,12,1,1,5,507,52500,0.00965714285714286
"322",4,13,1,1,0,610,52500,0.0116190476190476
"323",4,14,1,1,5,610,52500,0.0116190476190476
"324",4,15,1,1,0,767,52500,0.0146095238095238
"325",4,16,1,1,5,767,52500,0.0146095238095238
"326",4,17,1,1,0,1087,52500,0.0207047619047619
"327",4,18,1,1,6,1087,52500,0.0207047619047619
"328",4,19,1,1,0,1561,52500,0.0297333333333333
"329",4,20,1,1,7,1561,52500,0.0297333333333333
"330",4,21,1,1,0,2235,52500,0.0425714285714286
"331",4,22,1,1,8,2235,52500,0.0425714285714286
"332",4,23,1,1,0,3189,52500,0.0607428571428571
"333",4,24,1,1,8,3189,52500,0.0607428571428571
"334",4,25,1,1,0,4324,52500,0.0823619047619048
"335",4,26,1,1,9,4324,52500,0.0823619047619048
"336",4,27,1,1,0,4830,52500,0.092
"337",4,28,1,1,9,4830,52500,0.092
"338",4,29,1,1,0,5446,52500,0.103733333333333
"339",4,30,1,1,10,5446,52500,0.103733333333333
"340",4,31,1,1,0,5973,52500,0.113771428571429
"341",4,32,1,1,10,5973,52500,0.113771428571429
"342",4,33,1,1,0,7038,52500,0.134057142857143
"343",4,34,1,1,12,7038,52500,0.134057142857143
"344",4,35,1,1,0,8314,52500,0.158361904761905
"345",4,36,1,1,12,8314,52500,0.158361904761905
"346",4,37,1,1,0,10102,52500,0.192419047619048
"347",4,38,1,1,12,10102,52500,0.192419047619048
"348",4,39,1,1,0,11302,52500,0.21527619047619
"349",4,40,1,1,13,11302,52500,0.21527619047619
"350",4,41,1,1,0,12790,52500,0.243619047619048
"351",4,42,1,1,13,12790,52500,0.243619047619048
"352",4,43,1,1,0,12985,52500,0.247333333333333
"353",4,44,1,1,14,12985,52500,0.247333333333333
"354",4,45,1,1,0,14481,52500,0.275828571428571
"355",4,46,1,1,14,14481,52500,0.275828571428571
"356",4,47,1,1,0,15215,52500,0.289809523809524
"357",4,48,1,1,15,15215,52500,0.289809523809524
"358",4,49,1,1,0,16672,52500,0.317561904761905
"359",4,50,1,1,15,16672,52500,0.317561904761905
"360",4,51,1,1,0,18130,52500,0.345333333333333
"361",4,52,1,1,16,18130,52500,0.345333333333333
"362",4,53,1,1,0,18370,52500,0.349904761904762
